,Date,measurement,reading
0,1973-05-01,Ozone,41.0
1,1973-05-02,Ozone,36.0
2,1973-05-03,Ozone,12.0
3,1973-05-04,Ozone,18.0
4,1973-05-05,Ozone,
5,1973-05-06,Ozone,28.0
6,1973-05-07,Ozone,23.0
7,1973-05-08,Ozone,19.0
8,1973-05-09,Ozone,8.0
9,1973-05-10,Ozone,
10,1973-05-11,Ozone,7.0
11,1973-05-12,Ozone,16.0
12,1973-05-13,Ozone,11.0
13,1973-05-14,Ozone,14.0
14,1973-05-15,Ozone,18.0
15,1973-05-16,Ozone,14.0
16,1973-05-17,Ozone,34.0
17,1973-05-18,Ozone,6.0
18,1973-05-19,Ozone,30.0
19,1973-05-20,Ozone,11.0
20,1973-05-21,Ozone,1.0
21,1973-05-22,Ozone,11.0
22,1973-05-23,Ozone,4.0
23,1973-05-24,Ozone,32.0
24,1973-05-25,Ozone,
25,1973-05-26,Ozone,
26,1973-05-27,Ozone,
27,1973-05-28,Ozone,23.0
28,1973-05-29,Ozone,45.0
29,1973-05-30,Ozone,115.0
30,1973-05-31,Ozone,37.0
31,1973-06-01,Ozone,
32,1973-06-02,Ozone,
33,1973-06-03,Ozone,
34,1973-06-04,Ozone,
35,1973-06-05,Ozone,
36,1973-06-06,Ozone,
37,1973-06-07,Ozone,29.0
38,1973-06-08,Ozone,
39,1973-06-09,Ozone,71.0
40,1973-06-10,Ozone,39.0
41,1973-06-11,Ozone,
42,1973-06-12,Ozone,
43,1973-06-13,Ozone,23.0
44,1973-06-14,Ozone,
45,1973-06-15,Ozone,
46,1973-06-16,Ozone,21.0
47,1973-06-17,Ozone,37.0
48,1973-06-18,Ozone,20.0
49,1973-06-19,Ozone,12.0
50,1973-06-20,Ozone,13.0
51,1973-06-21,Ozone,
52,1973-06-22,Ozone,
53,1973-06-23,Ozone,
54,1973-06-24,Ozone,
55,1973-06-25,Ozone,
56,1973-06-26,Ozone,
57,1973-06-27,Ozone,
58,1973-06-28,Ozone,
59,1973-06-29,Ozone,
60,1973-06-30,Ozone,
61,1973-07-01,Ozone,135.0
62,1973-07-02,Ozone,49.0
63,1973-07-03,Ozone,32.0
64,1973-07-04,Ozone,
65,1973-07-05,Ozone,64.0
66,1973-07-06,Ozone,40.0
67,1973-07-07,Ozone,77.0
68,1973-07-08,Ozone,97.0
69,1973-07-09,Ozone,97.0
70,1973-07-10,Ozone,85.0
71,1973-07-11,Ozone,
72,1973-07-12,Ozone,10.0
73,1973-07-13,Ozone,27.0
74,1973-07-14,Ozone,
75,1973-07-15,Ozone,7.0
76,1973-07-16,Ozone,48.0
77,1973-07-17,Ozone,35.0
78,1973-07-18,Ozone,61.0
79,1973-07-19,Ozone,79.0
80,1973-07-20,Ozone,63.0
81,1973-07-21,Ozone,16.0
82,1973-07-22,Ozone,
83,1973-07-23,Ozone,
84,1973-07-24,Ozone,80.0
85,1973-07-25,Ozone,108.0
86,1973-07-26,Ozone,20.0
87,1973-07-27,Ozone,52.0
88,1973-07-28,Ozone,82.0
89,1973-07-29,Ozone,50.0
90,1973-07-30,Ozone,64.0
91,1973-07-31,Ozone,59.0
92,1973-08-01,Ozone,39.0
93,1973-08-02,Ozone,9.0
94,1973-08-03,Ozone,16.0
95,1973-08-04,Ozone,78.0
96,1973-08-05,Ozone,35.0
97,1973-08-06,Ozone,66.0
98,1973-08-07,Ozone,122.0
99,1973-08-08,Ozone,89.0
100,1973-08-09,Ozone,110.0
101,1973-08-10,Ozone,
102,1973-08-11,Ozone,
103,1973-08-12,Ozone,44.0
104,1973-08-13,Ozone,28.0
105,1973-08-14,Ozone,65.0
106,1973-08-15,Ozone,
107,1973-08-16,Ozone,22.0
108,1973-08-17,Ozone,59.0
109,1973-08-18,Ozone,23.0
110,1973-08-19,Ozone,31.0
111,1973-08-20,Ozone,44.0
112,1973-08-21,Ozone,21.0
113,1973-08-22,Ozone,9.0
114,1973-08-23,Ozone,
115,1973-08-24,Ozone,45.0
116,1973-08-25,Ozone,168.0
117,1973-08-26,Ozone,73.0
118,1973-08-27,Ozone,
119,1973-08-28,Ozone,76.0
120,1973-08-29,Ozone,118.0
121,1973-08-30,Ozone,84.0
122,1973-08-31,Ozone,85.0
123,1973-09-01,Ozone,96.0
124,1973-09-02,Ozone,78.0
125,1973-09-03,Ozone,73.0
126,1973-09-04,Ozone,91.0
127,1973-09-05,Ozone,47.0
128,1973-09-06,Ozone,32.0
129,1973-09-07,Ozone,20.0
130,1973-09-08,Ozone,23.0
131,1973-09-09,Ozone,21.0
132,1973-09-10,Ozone,24.0
133,1973-09-11,Ozone,44.0
134,1973-09-12,Ozone,21.0
135,1973-09-13,Ozone,28.0
136,1973-09-14,Ozone,9.0
137,1973-09-15,Ozone,13.0
138,1973-09-16,Ozone,46.0
139,1973-09-17,Ozone,18.0
140,1973-09-18,Ozone,13.0
141,1973-09-19,Ozone,24.0
142,1973-09-20,Ozone,16.0
143,1973-09-21,Ozone,13.0
144,1973-09-22,Ozone,23.0
145,1973-09-23,Ozone,36.0
146,1973-09-24,Ozone,7.0
147,1973-09-25,Ozone,14.0
148,1973-09-26,Ozone,30.0
149,1973-09-27,Ozone,
150,1973-09-28,Ozone,14.0
151,1973-09-29,Ozone,18.0
152,1973-09-30,Ozone,20.0
153,1973-05-01,Solar.R,190.0
154,1973-05-02,Solar.R,118.0
155,1973-05-03,Solar.R,149.0
156,1973-05-04,Solar.R,313.0
157,1973-05-05,Solar.R,
158,1973-05-06,Solar.R,
159,1973-05-07,Solar.R,299.0
160,1973-05-08,Solar.R,99.0
161,1973-05-09,Solar.R,19.0
162,1973-05-10,Solar.R,194.0
163,1973-05-11,Solar.R,
164,1973-05-12,Solar.R,256.0
165,1973-05-13,Solar.R,290.0
166,1973-05-14,Solar.R,274.0
167,1973-05-15,Solar.R,65.0
168,1973-05-16,Solar.R,334.0
169,1973-05-17,Solar.R,307.0
170,1973-05-18,Solar.R,78.0
171,1973-05-19,Solar.R,322.0
172,1973-05-20,Solar.R,44.0
173,1973-05-21,Solar.R,8.0
174,1973-05-22,Solar.R,320.0
175,1973-05-23,Solar.R,25.0
176,1973-05-24,Solar.R,92.0
177,1973-05-25,Solar.R,66.0
178,1973-05-26,Solar.R,266.0
179,1973-05-27,Solar.R,
180,1973-05-28,Solar.R,13.0
181,1973-05-29,Solar.R,252.0
182,1973-05-30,Solar.R,223.0
183,1973-05-31,Solar.R,279.0
184,1973-06-01,Solar.R,286.0
185,1973-06-02,Solar.R,287.0
186,1973-06-03,Solar.R,242.0
187,1973-06-04,Solar.R,186.0
