,country,year,m014,m1524,m2534,m3544,m4554,m5564,m65,mu,f014,f1524,f2534,f3544,f4554,f5564,f65,fu
0,AD,2000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,AE,2000,2.0,4.0,4.0,6.0,5.0,12.0,10.0,,3.0,16.0,1.0,3.0,0.0,0.0,4.0,
2,AF,2000,52.0,228.0,183.0,149.0,129.0,94.0,80.0,,93.0,414.0,565.0,339.0,205.0,99.0,36.0,
3,AG,2000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
4,AL,2000,2.0,19.0,21.0,14.0,24.0,19.0,16.0,,3.0,11.0,10.0,8.0,8.0,5.0,11.0,
5,AM,2000,2.0,152.0,130.0,131.0,63.0,26.0,21.0,,1.0,24.0,27.0,24.0,8.0,8.0,4.0,
6,AN,2000,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
7,AO,2000,186.0,999.0,1003.0,912.0,482.0,312.0,194.0,,247.0,1142.0,1091.0,844.0,417.0,200.0,120.0,
8,AR,2000,97.0,278.0,594.0,402.0,419.0,368.0,330.0,,121.0,544.0,479.0,262.0,230.0,179.0,216.0,
9,AS,2000,,,,,1.0,1.0,,,,,,,1.0,,,
10,AT,2000,1.0,17.0,30.0,59.0,42.0,23.0,41.0,,1.0,11.0,22.0,12.0,11.0,6.0,22.0,
11,AU,2000,3.0,16.0,35.0,25.0,24.0,19.0,49.0,,0.0,15.0,19.0,12.0,15.0,5.0,14.0,
12,AZ,2000,0.0,9.0,24.0,33.0,42.0,30.0,0.0,,0.0,3.0,3.0,6.0,3.0,0.0,0.0,
13,BA,2000,4.0,56.0,82.0,99.0,66.0,58.0,77.0,,4.0,30.0,46.0,29.0,29.0,48.0,124.0,
14,BB,2000,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
15,BD,2000,256.0,3640.0,5643.0,5750.0,4718.0,3667.0,2837.0,,495.0,3029.0,3238.0,2247.0,1315.0,778.0,370.0,
16,BE,2000,3.0,20.0,57.0,39.0,55.0,32.0,56.0,,6.0,15.0,15.0,19.0,4.0,13.0,27.0,
17,BF,2000,12.0,91.0,274.0,252.0,133.0,68.0,65.0,,7.0,59.0,128.0,101.0,45.0,38.0,14.0,
18,BG,2000,0.0,13.0,16.0,20.0,3.0,9.0,10.0,,0.0,11.0,14.0,7.0,3.0,4.0,6.0,
19,BH,2000,0.0,0.0,3.0,2.0,5.0,3.0,4.0,,0.0,1.0,2.0,0.0,1.0,1.0,1.0,
20,BI,2000,,,,,,,,,,,,,,,,
21,BJ,2000,19.0,277.0,428.0,327.0,213.0,103.0,74.0,,36.0,239.0,275.0,149.0,76.0,45.0,25.0,
22,BM,2000,,,,,,,,,,,,,,,,
23,BN,2000,0.0,6.0,4.0,15.0,5.0,7.0,15.0,,0.0,4.0,6.0,9.0,6.0,3.0,4.0,
24,BO,2000,166.0,1182.0,797.0,518.0,466.0,340.0,366.0,,191.0,831.0,588.0,334.0,254.0,192.0,233.0,
25,BR,2000,1894.0,7268.0,11568.0,11906.0,8623.0,5085.0,4494.0,,1859.0,6719.0,7215.0,5395.0,3582.0,2384.0,2496.0,
26,BS,2000,1.0,2.0,7.0,9.0,4.0,3.0,2.0,,2.0,5.0,7.0,8.0,2.0,3.0,1.0,
27,BT,2000,6.0,65.0,41.0,30.0,24.0,12.0,2.0,,7.0,57.0,34.0,31.0,23.0,3.0,2.0,
28,BW,2000,25.0,185.0,605.0,488.0,267.0,135.0,96.0,,37.0,335.0,469.0,262.0,98.0,57.0,36.0,
29,BY,2000,,,,,,,,,,,,,,,,
30,BZ,2000,2.0,5.0,7.0,2.0,6.0,3.0,5.0,,0.0,2.0,1.0,2.0,4.0,1.0,4.0,
31,CA,2000,5.0,34.0,45.0,46.0,41.0,32.0,79.0,,4.0,33.0,40.0,30.0,25.0,12.0,66.0,
32,CD,2000,485.0,4048.0,5833.0,4151.0,2549.0,1295.0,602.0,,718.0,4422.0,5146.0,3309.0,1724.0,855.0,351.0,
33,CF,2000,,,,,,,,,,,,,,,,
34,CG,2000,,,,,,,,,,,,,,,,
35,CH,2000,0.0,5.0,18.0,10.0,7.0,5.0,8.0,,1.0,9.0,12.0,8.0,2.0,1.0,6.0,
36,CI,2000,,,,,,,,,,,,,,,,
37,CK,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,CL,2000,6.0,81.0,160.0,198.0,150.0,132.0,126.0,,10.0,66.0,96.0,70.0,54.0,58.0,83.0,
39,CM,2000,41.0,518.0,842.0,584.0,284.0,130.0,75.0,,63.0,368.0,530.0,293.0,139.0,60.0,33.0,
40,CN,2000,1131.0,19111.0,29399.0,25206.0,25593.0,21429.0,21771.0,,1420.0,14536.0,18496.0,12377.0,9899.0,7102.0,6296.0,
41,CO,2000,246.0,763.0,1030.0,963.0,743.0,610.0,746.0,,194.0,587.0,758.0,523.0,381.0,304.0,510.0,
42,CR,2000,14.0,31.0,53.0,62.0,39.0,28.0,49.0,,13.0,21.0,33.0,24.0,20.0,23.0,24.0,
43,CU,2000,0.0,71.0,167.0,90.0,74.0,55.0,75.0,,2.0,9.0,22.0,26.0,22.0,23.0,39.0,
44,CV,2000,,,,,,,,,,,,,,,,
45,CY,2000,,,,,,,,,,,,,,,,
46,CZ,2000,0.0,7.0,31.0,52.0,89.0,61.0,59.0,,0.0,15.0,13.0,9.0,10.0,7.0,57.0,
47,DE,2000,,,,,,,,,,,,,,,,
48,DJ,2000,17.0,302.0,347.0,139.0,67.0,60.0,42.0,,12.0,147.0,156.0,47.0,31.0,17.0,10.0,
49,DK,2000,5.0,10.0,20.0,24.0,16.0,11.0,14.0,,5.0,16.0,15.0,14.0,6.0,7.0,8.0,
50,DO,2000,73.0,410.0,481.0,344.0,173.0,125.0,113.0,,65.0,317.0,325.0,212.0,115.0,79.0,75.0,
51,DZ,2000,59.0,927.0,1516.0,610.0,491.0,234.0,299.0,,36.0,1005.0,1293.0,746.0,314.0,208.0,312.0,
52,EC,2000,,,,,,,,,,,,,,,,
53,EE,2000,0.0,6.0,31.0,53.0,56.0,35.0,15.0,,0.0,9.0,11.0,14.0,11.0,4.0,10.0,
54,EG,2000,21.0,641.0,827.0,667.0,476.0,307.0,158.0,,55.0,457.0,343.0,257.0,211.0,112.0,48.0,
55,ER,2000,9.0,70.0,75.0,57.0,32.0,25.0,20.0,,10.0,100.0,87.0,71.0,21.0,12.0,8.0,
56,ES,2000,,,,,,,,,,,,,,,,
57,ET,2000,915.0,5095.0,5187.0,3082.0,1495.0,610.0,397.0,,1037.0,4699.0,4424.0,2105.0,976.0,366.0,122.0,
58,FI,2000,0.0,3.0,8.0,22.0,19.0,28.0,53.0,,0.0,1.0,5.0,3.0,4.0,6.0,49.0,
59,FJ,2000,0.0,8.0,6.0,13.0,5.0,4.0,2.0,,0.0,7.0,5.0,7.0,1.0,4.0,0.0,
60,FM,2000,0.0,2.0,0.0,1.0,0.0,0.0,1.0,,4.0,3.0,1.0,1.0,0.0,1.0,1.0,
61,FR,2000,10.0,136.0,248.0,247.0,211.0,125.0,244.0,,18.0,108.0,127.0,89.0,46.0,43.0,155.0,
62,GB,2000,8.0,86.0,130.0,96.0,87.0,75.0,138.0,,9.0,95.0,114.0,60.0,31.0,31.0,67.0,
63,GD,2000,,,,,,,,,,,,,,,,
64,GE,2000,4.0,76.0,111.0,113.0,63.0,45.0,28.0,,1.0,49.0,37.0,33.0,17.0,10.0,5.0,
65,GH,2000,73.0,550.0,1266.0,1115.0,811.0,495.0,426.0,,74.0,456.0,791.0,566.0,338.0,179.0,176.0,
66,GN,2000,39.0,551.0,860.0,570.0,282.0,203.0,103.0,,66.0,314.0,446.0,245.0,114.0,82.0,45.0,
67,GR,2000,1.0,10.0,22.0,32.0,24.0,19.0,46.0,,0.0,2.0,9.0,10.0,5.0,6.0,25.0,
68,GT,2000,36.0,220.0,236.0,216.0,177.0,112.0,140.0,,41.0,199.0,167.0,175.0,135.0,87.0,111.0,
69,GU,2000,2.0,1.0,6.0,6.0,9.0,6.0,9.0,,0.0,3.0,1.0,2.0,5.0,2.0,2.0,
70,GW,2000,2.0,52.0,92.0,80.0,64.0,39.0,19.0,,4.0,30.0,46.0,47.0,24.0,15.0,12.0,
71,GY,2000,4.0,20.0,19.0,14.0,7.0,6.0,9.0,,1.0,11.0,8.0,7.0,5.0,5.0,3.0,
72,HK,2000,4.0,78.0,102.0,160.0,211.0,236.0,578.0,,5.0,65.0,115.0,86.0,44.0,45.0,211.0,
73,HN,2000,30.0,123.0,371.0,246.0,277.0,214.0,43.0,,25.0,21.0,269.0,258.0,270.0,160.0,38.0,
74,HR,2000,,,,,,,,,,,,,,,,
75,HT,2000,67.0,836.0,898.0,613.0,350.0,147.0,118.0,,96.0,914.0,857.0,513.0,275.0,132.0,71.0,
76,HU,2000,0.0,8.0,24.0,85.0,104.0,58.0,27.0,,1.0,7.0,17.0,19.0,22.0,10.0,30.0,
77,ID,2000,,,,,,,,,,,,,,,,
78,IE,2000,0.0,10.0,7.0,7.0,6.0,4.0,12.0,,0.0,13.0,8.0,13.0,6.0,7.0,15.0,
79,IL,2000,0.0,16.0,28.0,17.0,24.0,10.0,31.0,,2.0,11.0,15.0,7.0,3.0,7.0,25.0,
80,IN,2000,1588.0,20963.0,31090.0,30829.0,24230.0,15308.0,8534.0,,2250.0,14495.0,17287.0,11768.0,7516.0,4594.0,2697.0,
81,IQ,2000,21.0,627.0,317.0,297.0,205.0,135.0,101.0,,37.0,338.0,241.0,136.0,134.0,103.0,87.0,
82,IR,2000,29.0,438.0,467.0,387.0,295.0,344.0,642.0,,77.0,593.0,410.0,322.0,320.0,407.0,647.0,
83,IS,2000,,,,,,,,,0.0,,1.0,,,,,
84,IT,2000,12.0,63.0,96.0,75.0,58.0,54.0,112.0,,6.0,38.0,58.0,33.0,13.0,19.0,39.0,
85,JM,2000,0.0,6.0,13.0,13.0,15.0,6.0,5.0,,1.0,8.0,8.0,7.0,2.0,5.0,1.0,
86,JO,2000,0.0,8.0,16.0,13.0,9.0,14.0,2.0,,0.0,8.0,9.0,1.0,2.0,2.0,5.0,
87,JP,2000,2.0,246.0,572.0,676.0,1494.0,1509.0,3816.0,,5.0,222.0,464.0,213.0,292.0,384.0,1958.0,
88,KE,2000,264.0,3739.0,6653.0,3548.0,1630.0,630.0,414.0,,416.0,3916.0,4363.0,1874.0,831.0,347.0,148.0,
89,KG,2000,4.0,128.0,227.0,205.0,115.0,52.0,46.0,,6.0,128.0,146.0,100.0,41.0,30.0,29.0,
90,KH,2000,26.0,519.0,1323.0,1618.0,1456.0,1373.0,1058.0,,38.0,457.0,1157.0,1649.0,1798.0,1459.0,892.0,
91,KI,2000,2.0,9.0,3.0,3.0,3.0,8.0,2.0,,2.0,5.0,6.0,3.0,4.0,1.0,3.0,
92,KM,2000,0.0,18.0,7.0,14.0,9.0,3.0,4.0,,1.0,9.0,6.0,12.0,1.0,2.0,1.0,
93,KN,2000,,,,,,,,,,,,,,,,
94,KP,2000,293.0,928.0,1508.0,2927.0,2519.0,1167.0,651.0,,167.0,683.0,1121.0,2004.0,1524.0,591.0,357.0,
95,KR,2000,19.0,821.0,1085.0,988.0,853.0,731.0,901.0,,25.0,546.0,544.0,393.0,220.0,295.0,795.0,
96,KW,2000,0.0,10.0,44.0,32.0,21.0,11.0,5.0,,1.0,11.0,24.0,12.0,5.0,3.0,1.0,
97,KY,2000,0.0,0.0,3.0,1.0,0.0,1.0,0.0,,,,,,,,,
98,KZ,2000,36.0,1057.0,1409.0,1379.0,923.0,439.0,218.0,,84.0,999.0,1079.0,599.0,275.0,202.0,204.0,
99,LA,2000,7.0,92.0,128.0,166.0,201.0,177.0,176.0,,10.0,59.0,95.0,131.0,122.0,91.0,71.0,
100,LB,2000,5.0,16.0,28.0,20.0,15.0,17.0,14.0,,4.0,31.0,26.0,9.0,7.0,4.0,6.0,
101,LC,2000,0.0,0.0,0.0,1.0,0.0,1.0,2.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
102,LK,2000,25.0,266.0,459.0,695.0,793.0,484.0,360.0,,23.0,312.0,264.0,176.0,202.0,144.0,113.0,
103,LR,2000,12.0,133.0,196.0,127.0,52.0,17.0,26.0,,21.0,140.0,149.0,88.0,28.0,16.0,16.0,
104,LS,2000,8.0,165.0,458.0,517.0,395.0,198.0,76.0,,11.0,222.0,336.0,195.0,83.0,36.0,29.0,
105,LT,2000,1.0,38.0,97.0,145.0,155.0,74.0,68.0,,0.0,20.0,37.0,39.0,32.0,22.0,48.0,
106,LU,2000,,,,,,,,,,,,,,,,
107,LV,2000,0.0,53.0,106.0,124.0,111.0,64.0,34.0,,2.0,25.0,41.0,27.0,28.0,7.0,15.0,
108,LY,2000,5.0,101.0,239.0,86.0,36.0,29.0,32.0,,6.0,43.0,35.0,24.0,24.0,16.0,22.0,
109,MA,2000,99.0,2061.0,2423.0,1705.0,855.0,485.0,595.0,,170.0,1530.0,1121.0,672.0,398.0,406.0,352.0,
110,MC,2000,,,,,,,,,,,,,,,,
111,MD,2000,2.0,52.0,31.0,36.0,13.0,13.0,6.0,,1.0,16.0,32.0,45.0,23.0,14.0,6.0,
112,MG,2000,,,,,,,,,,,,,,,,
113,MH,2000,3.0,5.0,4.0,1.0,3.0,5.0,3.0,,7.0,7.0,3.0,0.0,2.0,2.0,0.0,
114,MK,2000,5.0,8.0,14.0,20.0,19.0,20.0,14.0,,1.0,15.0,14.0,17.0,5.0,5.0,10.0,
115,ML,2000,23.0,206.0,430.0,396.0,297.0,235.0,144.0,,14.0,174.0,232.0,152.0,106.0,75.0,43.0,
116,MM,2000,88.0,1459.0,2636.0,2781.0,2161.0,1235.0,836.0,,72.0,1040.0,1592.0,1397.0,987.0,592.0,378.0,
117,MN,2000,6.0,181.0,260.0,171.0,68.0,38.0,23.0,,32.0,200.0,213.0,113.0,41.0,26.0,17.0,
118,MO,2000,0.0,10.0,8.0,25.0,22.0,9.0,17.0,,0.0,10.0,4.0,6.0,6.0,3.0,13.0,
119,MP,2000,1.0,4.0,8.0,9.0,9.0,3.0,2.0,,0.0,10.0,17.0,7.0,3.0,1.0,1.0,
120,MR,2000,,,,,,,,,,,,,,,,
121,MS,2000,,,,,,,,,,,,,,,,
122,MT,2000,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,
123,MU,2000,2.0,6.0,9.0,18.0,19.0,14.0,8.0,,1.0,5.0,8.0,8.0,6.0,7.0,4.0,
124,MV,2000,0.0,9.0,10.0,2.0,5.0,5.0,3.0,,0.0,11.0,4.0,5.0,4.0,5.0,2.0,
125,MW,2000,50.0,653.0,1476.0,1113.0,585.0,245.0,114.0,,66.0,1038.0,1481.0,831.0,401.0,148.0,64.0,
126,MX,2000,214.0,1079.0,1387.0,1162.0,1235.0,972.0,1126.0,,176.0,663.0,828.0,698.0,832.0,595.0,709.0,
