,total_bill,tip,sex,smoker,day,time,size
0,16.99,1.01,Female,No,Sun,,2.0
1,10.34,1.66,Male,No,Sun,Dinner,3.0
2,21.01,3.5,Male,No,Sun,Dinner,3.0
3,23.68,3.31,Male,No,Sun,Dinner,2.0
4,missing,3.61,Female,No,Sun,Dinner,4.0
5,missing,4.71,Male,No,Sun,Dinner,4.0
6,8.77,2.0,Male,No,Sun,Dinner,2.0
7,26.88,3.12,Male,No,Sun,Dinner,4.0
8,15.04,1.96,Male,No,Sun,Dinner,2.0
9,14.78,3.23,Male,No,Sun,Dinner,
10,10.27,missing,Male,No,Sun,Dinner,2.0
11,35.26,missing,Female,No,Sun,Dinner,4.0
12,15.42,1.57,Male,No,Sun,Dinner,2.0
13,18.43,3.0,Male,No,Sun,Dinner,4.0
14,14.83,3.02,Female,No,Sun,Dinner,2.0
15,21.58,missing,Male,No,Sun,Dinner,2.0
16,10.33,1.67,Female,No,Sun,Dinner,3.0
17,16.29,3.71,Male,No,Sun,Dinner,3.0
18,16.97,3.5,Female,No,Sun,,3.0
19,missing,3.35,Male,No,Sat,Dinner,3.0
20,missing,4.08,Male,No,Sat,Dinner,2.0
21,20.29,2.75,Female,No,Sat,Dinner,2.0
22,15.77,2.23,Female,,Sat,Dinner,2.0
23,39.42,7.58,Male,No,Sat,Dinner,4.0
24,missing,missing,Male,No,Sat,Dinner,2.0
25,17.81,2.34,Male,No,Sat,Dinner,4.0
26,13.37,2.0,Male,No,Sat,Dinner,2.0
27,12.69,2.0,Male,No,Sat,Dinner,2.0
28,21.7,4.3,Male,No,Sat,Dinner,2.0
29,19.65,3.0,Female,No,Sat,Dinner,2.0
30,9.55,1.45,Male,No,Sat,Dinner,2.0
31,missing,2.5,Male,No,Sat,Dinner,4.0
32,15.06,3.0,Female,No,Sat,Dinner,2.0
33,missing,2.45,Female,No,Sat,Dinner,4.0
34,17.78,3.27,Male,No,Sat,Dinner,2.0
35,24.06,3.6,Male,No,Sat,Dinner,3.0
36,16.31,2.0,Male,No,Sat,Dinner,3.0
37,missing,3.07,Female,No,Sat,Dinner,
38,18.69,2.31,Male,No,Sat,Dinner,3.0
39,31.27,5.0,Male,No,Sat,Dinner,3.0
40,16.04,2.24,Male,No,Sat,,3.0
41,17.46,2.54,Male,No,Sun,Dinner,2.0
42,missing,3.06,Male,No,Sun,Dinner,
43,9.68,missing,Male,No,Sun,Dinner,2.0
44,30.4,5.6,Male,No,Sun,Dinner,4.0
45,18.29,3.0,Male,No,Sun,Dinner,2.0
46,22.23,5.0,Male,No,Sun,Dinner,2.0
47,32.4,6.0,Male,No,Sun,Dinner,4.0
48,28.55,2.05,Male,No,Sun,Dinner,3.0
49,18.04,3.0,Male,No,Sun,Dinner,2.0
50,12.54,2.5,Male,No,Sun,Dinner,2.0
51,10.29,2.6,Female,,Sun,Dinner,2.0
52,missing,5.2,Female,No,Sun,Dinner,4.0
53,missing,1.56,Male,No,Sun,Dinner,
54,25.56,4.34,Male,No,Sun,,4.0
55,19.49,3.51,Male,No,Sun,Dinner,2.0
56,38.01,3.0,Male,Yes,Sat,Dinner,4.0
57,26.41,1.5,Female,No,Sat,Dinner,2.0
58,11.24,1.76,Male,Yes,Sat,Dinner,2.0
59,48.27,6.73,Male,No,Sat,Dinner,4.0
60,20.29,3.21,Male,Yes,Sat,Dinner,2.0
61,missing,2.0,Male,Yes,Sat,Dinner,2.0
62,11.02,1.98,Male,Yes,Sat,Dinner,2.0
63,18.29,3.76,Male,,Sat,,4.0
64,17.59,missing,Male,No,Sat,Dinner,3.0
65,20.08,3.15,Male,No,Sat,Dinner,3.0
66,16.45,2.47,Female,No,Sat,Dinner,2.0
67,3.07,missing,Female,Yes,Sat,Dinner,1.0
68,20.23,2.01,Male,No,Sat,Dinner,2.0
69,15.01,2.09,Male,Yes,Sat,Dinner,2.0
70,12.02,1.97,Male,No,Sat,,2.0
71,missing,3.0,Female,No,Sat,Dinner,3.0
72,26.86,3.14,Female,Yes,Sat,Dinner,2.0
73,25.28,missing,Female,,Sat,,2.0
74,14.73,2.2,,No,Sat,Dinner,2.0
75,10.51,1.25,Male,No,Sat,Dinner,2.0
76,17.92,missing,Male,Yes,Sat,Dinner,2.0
77,27.2,4.0,Male,No,Thur,Lunch,4.0
78,22.76,3.0,Male,No,Thur,Lunch,2.0
79,missing,2.71,Male,No,Thur,,2.0
80,missing,3.0,Male,Yes,Thur,Lunch,2.0
81,missing,3.4,Male,No,Thur,Lunch,2.0
82,10.07,1.83,Female,No,Thur,Lunch,1.0
83,32.68,5.0,Male,Yes,Thur,Lunch,2.0
84,15.98,2.03,Male,No,Thur,Lunch,2.0
85,34.83,5.17,Female,No,Thur,Lunch,4.0
86,13.03,missing,Male,No,Thur,Lunch,2.0
87,18.28,4.0,Male,No,Thur,Lunch,
88,24.71,5.85,Male,No,Thur,Lunch,2.0
89,missing,3.0,Male,No,Thur,Lunch,2.0
90,missing,3.0,Male,Yes,Fri,Dinner,2.0
91,missing,3.5,Male,No,Fri,Dinner,2.0
92,5.75,1.0,Female,Yes,Fri,Dinner,2.0
93,16.32,4.3,Female,Yes,Fri,Dinner,2.0
94,22.75,3.25,Female,No,Fri,Dinner,2.0
95,40.17,4.73,Male,Yes,Fri,Dinner,4.0
96,27.28,4.0,Male,Yes,Fri,Dinner,2.0
97,12.03,1.5,Male,Yes,Fri,Dinner,2.0
98,21.01,3.0,Male,Yes,Fri,Dinner,2.0
99,12.46,1.5,Male,No,Fri,Dinner,2.0
100,11.35,2.5,Female,Yes,Fri,Dinner,2.0
101,15.38,3.0,Female,Yes,Fri,Dinner,2.0
102,44.3,missing,Female,Yes,Sat,Dinner,3.0
103,22.42,3.48,Female,Yes,Sat,Dinner,2.0
104,20.92,4.08,Female,No,Sat,Dinner,2.0
105,15.36,1.64,Male,Yes,Sat,Dinner,2.0
106,20.49,4.06,Male,Yes,Sat,Dinner,2.0
107,25.21,4.29,Male,Yes,Sat,Dinner,2.0
108,18.24,3.76,Male,No,Sat,Dinner,2.0
109,14.31,4.0,,Yes,Sat,Dinner,2.0
110,14.0,3.0,Male,,Sat,Dinner,2.0
111,7.25,1.0,Female,No,Sat,Dinner,1.0
112,missing,4.0,Male,No,Sun,Dinner,3.0
113,23.95,2.55,Male,No,Sun,Dinner,2.0
114,missing,4.0,Female,No,Sun,Dinner,3.0
