,Life expectancy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Abkhazia,,,,,,,,,,,,,,,,,
1,Afghanistan,50.1,50.4,51.0,51.4,51.8,52.0,52.1,52.4,52.8,53.3,53.6,54.0,54.4,54.8,54.9,53.8,52.72
2,Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,
3,Albania,74.7,75.1,75.5,75.7,75.9,76.2,76.4,76.6,76.8,77.0,77.2,77.4,77.5,77.7,77.9,78.0,78.1
4,Algeria,73.3,73.5,73.8,73.9,74.4,74.8,75.0,75.3,75.5,75.7,76.0,76.1,76.2,76.3,76.3,76.4,76.5
5,American Samoa,71.7,71.7,71.7,71.7,71.8,72.0,72.2,72.4,72.7,71.3,72.8,72.6,72.6,72.7,72.8,72.9,73.0
6,Andorra,83.7,83.9,84.1,84.2,84.1,84.3,84.4,84.5,84.6,84.6,84.7,84.7,84.7,84.8,84.8,84.8,84.8
7,Angola,52.3,52.5,53.3,53.9,54.5,55.2,55.7,56.2,56.7,57.1,57.6,58.1,58.5,58.8,59.2,59.6,60.0
8,Anguilla,,,,,,,,,,,,,,,,,
9,Antigua and Barbuda,73.8,74.1,74.3,74.5,74.6,74.9,74.9,75.3,75.5,75.7,75.8,75.9,76.1,76.2,76.3,76.4,76.5
10,Argentina,74.2,74.3,74.3,74.5,75.0,75.3,75.3,75.2,75.4,75.6,75.8,76.0,76.1,76.2,76.3,76.5,76.7
11,Armenia,71.3,71.4,71.6,71.5,71.8,71.8,71.7,72.3,72.3,72.6,73.0,73.5,73.9,74.3,74.5,74.7,74.9
12,Aruba,73.78,73.85,73.94,74.05,74.18,74.32,74.47,74.62,74.77,74.92,75.06,75.19,75.32,75.46,75.59,75.72,75.85
13,Australia,79.8,80.1,80.3,80.6,80.9,81.2,81.4,81.5,81.6,81.8,82.0,82.2,82.4,82.4,82.3,82.3,82.3
14,Austria,78.2,78.6,78.8,79.0,79.4,79.5,80.0,80.1,80.4,80.3,80.5,80.7,80.9,81.1,81.2,81.3,81.4
15,Azerbaijan,66.5,67.2,67.6,67.6,67.8,68.2,68.7,69.1,69.2,69.7,70.1,70.8,71.5,72.1,72.5,72.9,73.3
16,Bahamas,70.2,70.3,70.4,71.1,71.7,71.7,72.0,71.8,72.2,72.7,72.7,72.6,72.7,72.9,73.5,73.7,73.9
17,Bahrain,73.7,74.3,74.8,75.3,75.7,76.1,76.3,77.0,77.6,78.2,78.7,78.8,79.0,79.1,79.1,79.1,79.1
18,Bangladesh,64.9,65.4,65.8,66.3,66.8,67.1,67.5,67.7,68.3,68.6,68.8,69.3,69.4,69.8,70.1,70.4,70.7
19,Barbados,74.0,74.4,74.6,74.8,74.9,75.0,75.0,75.1,75.3,75.3,75.2,75.2,75.4,75.5,75.6,75.7,75.8
20,Belarus,68.1,68.0,67.9,68.2,68.5,68.7,69.1,69.7,70.0,70.1,70.2,70.3,70.4,70.6,70.7,71.0,71.3
21,Belgium,77.8,78.0,78.2,78.5,79.0,79.1,79.5,79.5,79.6,79.8,80.1,80.2,80.3,80.4,80.5,80.5,80.5
22,Belize,69.0,68.8,69.3,69.6,69.9,70.0,70.3,70.6,70.7,70.9,71.2,71.2,71.3,71.3,71.5,71.7,71.9
23,Benin,57.2,57.4,57.7,57.9,58.2,58.6,58.9,59.2,59.7,60.4,60.8,61.1,61.4,61.7,62.0,62.3,62.6
24,Bermuda,74.1,75.1,75.4,75.7,76.0,76.4,76.4,76.8,77.1,77.5,77.6,78.0,78.3,78.3,78.4,78.5,78.6
25,Bhutan,65.9,67.5,68.1,68.5,68.9,69.3,69.8,70.3,70.7,70.9,71.4,71.7,71.9,72.2,72.4,72.7,73.0
26,Bolivia,67.6,68.3,68.7,69.3,69.8,70.2,70.6,70.9,71.2,71.6,71.8,72.1,72.4,72.7,72.9,73.2,73.5
